"year","month","day","dep_time","sched_dep_time","dep_delay","arr_time","sched_arr_time","arr_delay","carrier","flight","tailnum","origin","dest","air_time","distance","hour","minute","time_hour"
"1",2013,1,1,1525,1530,-5,1934,1805,NA,"MQ",4525,"N719MQ","LGA","XNA",NA,1147,15,30,2013-01-01 15:00:00
"2",2013,1,1,1528,1459,29,2002,1647,NA,"EV",3806,"N17108","EWR","STL",NA,872,14,59,2013-01-01 14:00:00
"3",2013,1,1,1740,1745,-5,2158,2020,NA,"MQ",4413,"N739MQ","LGA","XNA",NA,1147,17,45,2013-01-01 17:00:00
"4",2013,1,1,1807,1738,29,2251,2103,NA,"UA",1228,"N31412","EWR","SAN",NA,2425,17,38,2013-01-01 17:00:00
"5",2013,1,1,1939,1840,59,29,2151,NA,"9E",3325,"N905XJ","JFK","DFW",NA,1391,18,40,2013-01-01 18:00:00
"6",2013,1,1,1952,1930,22,2358,2207,NA,"EV",4333,"N11194","EWR","TUL",NA,1215,19,30,2013-01-01 19:00:00
"7",2013,1,1,2016,1930,46,NA,2220,NA,"EV",4204,"N14168","EWR","OKC",NA,1325,19,30,2013-01-01 19:00:00
"8",2013,1,1,NA,1630,NA,NA,1815,NA,"EV",4308,"N18120","EWR","RDU",NA,416,16,30,2013-01-01 16:00:00
"9",2013,1,1,NA,1935,NA,NA,2240,NA,"AA",791,"N3EHAA","LGA","DFW",NA,1389,19,35,2013-01-01 19:00:00
"10",2013,1,1,NA,1500,NA,NA,1825,NA,"AA",1925,"N3EVAA","LGA","MIA",NA,1096,15,0,2013-01-01 15:00:00
"11",2013,1,1,NA,600,NA,NA,901,NA,"B6",125,"N618JB","JFK","FLL",NA,1069,6,0,2013-01-01 06:00:00
"12",2013,1,2,905,822,43,1313,1045,NA,"EV",4140,"N15912","EWR","XNA",NA,1131,8,22,2013-01-02 08:00:00
"13",2013,1,2,1125,925,120,1445,1146,NA,"9E",3658,"N8783E","LGA","GRR",NA,618,9,25,2013-01-02 09:00:00
"14",2013,1,2,1848,1840,8,2333,2151,NA,"9E",3325,"N920XJ","JFK","DFW",NA,1391,18,40,2013-01-02 18:00:00
"15",2013,1,2,1849,1724,85,2235,1938,NA,"EV",4321,"N14998","EWR","MCI",NA,1092,17,24,2013-01-02 17:00:00
"16",2013,1,2,1927,1930,-3,2359,2306,NA,"9E",3401,"N908XJ","JFK","SAT",NA,1587,19,30,2013-01-02 19:00:00
"17",2013,1,2,2041,2045,-4,NA,2359,NA,"B6",147,"N630JB","JFK","RSW",NA,1074,20,45,2013-01-02 20:00:00
"18",2013,1,2,2145,2129,16,NA,33,NA,"UA",1299,"N12221","EWR","RSW",NA,1068,21,29,2013-01-02 21:00:00
"19",2013,1,2,NA,1540,NA,NA,1747,NA,"EV",4352,"N10575","EWR","CVG",NA,569,15,40,2013-01-02 15:00:00
"20",2013,1,2,NA,1620,NA,NA,1746,NA,"EV",4406,"N13949","EWR","PIT",NA,319,16,20,2013-01-02 16:00:00
"21",2013,1,2,NA,1355,NA,NA,1459,NA,"EV",4434,"N10575","EWR","MHT",NA,209,13,55,2013-01-02 13:00:00
"22",2013,1,2,NA,1420,NA,NA,1644,NA,"EV",4935,"N759EV","EWR","ATL",NA,746,14,20,2013-01-02 14:00:00
"23",2013,1,2,NA,1321,NA,NA,1536,NA,"EV",3849,"N13550","EWR","IND",NA,645,13,21,2013-01-02 13:00:00
"24",2013,1,2,NA,1545,NA,NA,1910,NA,"AA",133,NA,"JFK","LAX",NA,2475,15,45,2013-01-02 15:00:00
"25",2013,1,2,NA,1330,NA,NA,1640,NA,"AA",753,"N3FBAA","LGA","DFW",NA,1389,13,30,2013-01-02 13:00:00
"26",2013,1,2,NA,1601,NA,NA,1735,NA,"UA",623,NA,"EWR","ORD",NA,719,16,1,2013-01-02 16:00:00
"27",2013,1,3,1025,1032,-7,1521,1240,NA,"EV",4255,"N34110","EWR","CHS",NA,628,10,32,2013-01-03 10:00:00
"28",2013,1,3,1348,1350,-2,1821,1628,NA,"DL",1705,"N324NB","LGA","MSY",NA,1183,13,50,2013-01-03 13:00:00
"29",2013,1,3,1904,1659,125,2327,2046,NA,"9E",3375,"N916XJ","JFK","SAT",NA,1587,16,59,2013-01-03 16:00:00
"30",2013,1,3,1928,1928,0,19,2129,NA,"EV",4532,"N14171","EWR","CHS",NA,628,19,28,2013-01-03 19:00:00
"31",2013,1,3,NA,645,NA,NA,757,NA,"EV",4241,"N14972","EWR","DCA",NA,199,6,45,2013-01-03 06:00:00
